abbr,team,name,position,last_updated,status,source,source_url,access_date,confidence
HOU,Houston Rockets,Eli Witus,Assistant General Manager,3-25-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
HOU,Houston Rockets,Jason Roman,Senior Director of Basketball Analytics,3-25-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
HOU,Houston Rockets,Neil Johnson,Director of Quantitative Research and Development,3-25-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
HOU,Houston Rockets,Edward Kupfer,Basketball Analyst,3-25-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
HOU,Houston Rockets,Jake Flancer,Basketball Operations Senior Analyst,4-9-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
IND,Indiana Pacers,Spencer Anderson,Vice President of Basketball Analytics and Strategy,11-5-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
IND,Indiana Pacers,Colin Barrett,Performance Data Analyst,8-20-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
IND,Indiana Pacers,Hersh Gupta,Basketball Data Science Manager,7-7-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
LAC,Los Angeles Clippers,Jud Winton,"Vice President, Assistant General Manager",8-24-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
LAC,Los Angeles Clippers,Gregory Peim,Vice President of Basketball Research & Analytics,7-7-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
LAC,Los Angeles Clippers,Matthew Elijah,VP of Basketball Strategy,8-24-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
LAC,Los Angeles Clippers,Ben Starks,"Manager, Basketball Analysis",7-7-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
LAC,Los Angeles Clippers,Monte McNair,Advisor,6-18-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
LAL,Los Angeles Lakers,Dom Samangy,Basketball Analyst,7-11-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
LAL,Los Angeles Lakers,Rohan Ramadas,Assistant General Manager,5-26-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
LAL,Los Angeles Lakers,Philip Chang,"Vice President, Analytics Strategy",8-7-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
LAL,Los Angeles Lakers,Nathan Hollenberg,"Senior Data Scientist, Basketball Data Strategy",5-26-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
LAL,Los Angeles Lakers,Cooper Chia,Senior Basketball Developer & Analyst,5-26-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
LAL,Los Angeles Lakers,Max Wiviott,Basketball Analyst,5-26-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
LAL,Los Angeles Lakers,Derek Grubis,"Data Scientist, Basketball Data Strategy",5-26-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
LAL,Los Angeles Lakers,Samuel Darvish,Database Analyst,5-26-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
MEM,Memphis Grizzlies,Mark Cheung,Coaching Analyst,8-8-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
MEM,Memphis Grizzlies,Rich Cho,VP of Basketball Strategy,8-25-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
MEM,Memphis Grizzlies,Daniel Marcus,Personnel Evaluator,8-25-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
MEM,Memphis Grizzlies,Scott Bullock,Software Architect,8-25-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
MIA,Miami Heat,Brian Hecker,Senior Director of Basketball Analytics and Innovation,6-25-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
MIA,Miami Heat,Warren Spencer,Manager of Basketball Analytics,8-27-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
MIA,Miami Heat,Max Clark,"Director, Data Science",7-8-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
MIA,Miami Heat,Liam Doyle,Senior Manager of Basketball Analytics and Scouting,8-27-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
MIA,Miami Heat,Bob Chaikin,Basketball Statistical Analyst and Scout,6-25-2025,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
MIL,Milwaukee Bucks,Pat Haneman,Vice President of Basketball Strategy & Analytics,8-25-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
MIL,Milwaukee Bucks,Samer Jassar,Director of Basketball Strategy & Analytics,8-25-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
MIL,Milwaukee Bucks,TJ Barra,Vice President Basketball Research and Innovation,7-7-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
MIL,Milwaukee Bucks,Sanjay Pothula,Research & Innovation Senior Data Scientist,8-24-2024,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
MIL,Milwaukee Bucks,Jack Weyer,Basketball Quantitative Strategist,7-7-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
MIL,Milwaukee Bucks,CB Garrett,Director of Basketball Research and Innovation,7-7-2026,Current,NBAstuffer NBA Analytics Departments team staff list,https://www.nbastuffer.com/analytics101/nba-teams-that-have-analytics-department/,2026-09-20,MEDIUM
